,frequency,percentage
nt,6967,1.0138102507071843e-05
rc,6849,9.966393579867239e-06
vw,5572,8.108153749017413e-06
ggs,5199,7.565378919802858e-06
mc,10717,1.5594954007218164e-05
tvn,6492,9.44690131705331e-06
gm,9809,1.4273668363982733e-05
php,8323,1.2111300009524752e-05
rt,5557,8.086326343016828e-06
ff,12483,1.816476727368707e-05
lcd,12246,1.781989425887782e-05
spm,5369,7.812756187809492e-06
cv,6425,9.349405570250696e-06
spl,27593,4.0152240918276645e-05
sd,8049,1.1712586059914061e-05
ghz,4508,6.559863083375896e-06
mrd,8236,1.1984701054721357e-05
mk,5964,8.678576625832707e-06
ft,5798,8.43701999942623e-06
vk,6072,8.835733949036921e-06
fb,8384,1.2200064793927133e-05
tsj,15887,2.311813327541989e-05
pt,5935,8.636376974231575e-06
fbs,4071,5.923957988558845e-06
wr,28617,4.16423251679166e-05
wc,4686,6.818881634582842e-06
hdm,5260,7.654143704205238e-06
fd,5520,8.032485408215383e-06
psp,4440,6.460912176173243e-06
cnn,4645,6.7592200581812415e-06
fx,4020,5.849744808156855e-06
td,5722,8.326427809023265e-06
rf,4979,7.245243631794274e-06
nn,5334,7.761825573808126e-06
rgt,3703,5.3884589613444864e-06
lx,4971,7.233602348593962e-06
qxl,3958,5.759524863354436e-06
sw,43627,6.348428277250226e-05
hz,3725,5.420472490145345e-06
xml,4727,6.878543210984441e-06
dd,5977,8.697493711033214e-06
dk,3860,5.616919144150612e-06
drm,4963,7.221961065393649e-06
btw,3553,5.170184901338633e-06
kh,27878,4.056696163228776e-05
nlm,5054,7.354380661797201e-06
nkp,4244,6.1757007377655954e-06
ns,11179,1.626723811203619e-05
mn,8364,1.2170961585926352e-05
tc,4558,6.632621103377847e-06
ng,8937,1.300476849514871e-05
lt,4550,6.620979820177535e-06
pts,3597,5.23421195894035e-06
px,3479,5.062503031735746e-06
mtv,4663,6.785412945381944e-06
kc,4392,6.39106447697137e-06
mhz,3440,5.005751776134224e-06
pb,4996,7.2699813585949375e-06
bh,14840,2.1594580336579038e-05
bb,5799,8.43847515982627e-06
vl,6033,8.7789826934354e-06
kwh,3109,4.524093683721309e-06
dg,3514,5.113433645737112e-06
zl,3913,5.69404264535268e-06
jpg,4419,6.430353807772424e-06
nv,7353,1.0699794421486904e-05
bk,3419,4.975193407733405e-06
pk,3798,5.5266991993481925e-06
lc,3714,5.404465725744915e-06
sql,3300,4.802029320128761e-06
sx,3146,4.577934618522753e-06
hms,6424,9.347950409850657e-06
dns,3288,4.784567395328293e-06
stp,3173,4.617223949323806e-06
pf,8753,1.273701898154153e-05
bd,4763,6.930928985385846e-06
skl,9555,1.3904057622372823e-05
tl,4127,6.00544697096103e-06
dv,17269,2.5129164948273813e-05
nhh,3623,5.272046129341365e-06
fg,3050,4.438239220119007e-06
zh,6907,1.0050792883069502e-05
tb,4763,6.930928985385846e-06
rw,4322,6.289203248968639e-06
nc,4594,6.6850068777792515e-06
krl,4090,5.951606036159586e-06
wtf,2959,4.305819623715457e-06
pbl,3063,4.457156305319514e-06
tdn,2709,3.9420295237057014e-06
tkd,2912,4.237427084913622e-06
nrs,2639,3.84016829570297e-06
sq,9961,1.4494852744788665e-05
smf,2771,4.032249468508121e-06
