,frequency,percentage
hbl,140,2.037224560054626e-07
cgt,101,1.469712004039409e-07
zct,94,1.3678507760366776e-07
thv,155,2.255498620060479e-07
srb,146,2.1245341840569674e-07
rsw,108,1.5715732320421402e-07
jlj,82,1.1932315280319953e-07
gbn,91,1.324195964035507e-07
dcd,108,1.5715732320421402e-07
bnd,171,2.4883242840667217e-07
xsl,207,3.012182028080769e-07
thw,203,2.953975612079208e-07
svl,105,1.5279184200409696e-07
scb,106,1.54247002404136e-07
qj,103,1.4988152120401892e-07
mq,101,1.469712004039409e-07
kjl,134,1.949914936052285e-07
khj,90,1.309644360035117e-07
hvr,267,3.88527826810418e-07
cxv,80,1.164128320031215e-07
csd,104,1.5133668160405795e-07
vhk,80,1.164128320031215e-07
vfk,89,1.2950927560347266e-07
vdr,112,1.629779648043701e-07
twf,83,1.2077831320323856e-07
tld,150,2.182740600058528e-07
shp,193,2.808459572075306e-07
rsk,231,3.3614205240901333e-07
qp,190,2.7648047600741353e-07
mtd,132,1.9208117280515048e-07
lsn,98,1.4260571920382383e-07
lhb,415,6.038915660161928e-07
fsg,90,1.309644360035117e-07
dtv,83,1.2077831320323856e-07
djg,86,1.251437944033556e-07
ccb,205,2.983078820079988e-07
tps,97,1.4115055880378482e-07
tmd,82,1.1932315280319953e-07
spb,129,1.877156916050334e-07
slx,78,1.1350251120304345e-07
skp,219,3.186801276085451e-07
sfr,122,1.7752956880476028e-07
sbd,92,1.3387475680358973e-07
ppr,173,2.5174274920675023e-07
pcw,251,3.6524526040979367e-07
mpf,99,1.4406087960386286e-07
jhh,101,1.469712004039409e-07
hmb,91,1.324195964035507e-07
fhc,98,1.4260571920382383e-07
dfr,136,1.9790181440530654e-07
cmv,131,1.9062601240511145e-07
bmv,85,1.236886340033166e-07
bgs,104,1.5133668160405795e-07
bdm,103,1.4988152120401892e-07
tcf,91,1.324195964035507e-07
sbt,107,1.55702162804175e-07
ncl,102,1.484263608039799e-07
hxg,77,1.1204735080300444e-07
fq,114,1.6588828560444812e-07
bwv,78,1.1350251120304345e-07
bvn,82,1.1932315280319953e-07
bll,245,3.565142980095596e-07
xz,380,5.529609520148271e-07
tvl,113,1.6443312520440912e-07
rhc,88,1.2805411520343363e-07
pns,91,1.324195964035507e-07
nsw,94,1.3678507760366776e-07
ksf,101,1.469712004039409e-07
jgs,77,1.1204735080300444e-07
frm,176,2.5610823040686727e-07
dvc,180,2.619288720070234e-07
blv,125,1.8189505000487735e-07
bdh,84,1.2223347360327757e-07
wcf,95,1.3824023800370676e-07
tvp,215,3.12859486008389e-07
rkk,108,1.5715732320421402e-07
nnt,258,3.754313832100668e-07
jwc,75,1.091370300029264e-07
jgh,77,1.1204735080300444e-07
hsn,84,1.2223347360327757e-07
hpl,156,2.270050224060869e-07
hjh,125,1.8189505000487735e-07
hcb,83,1.2077831320323856e-07
frq,84,1.2223347360327757e-07
frl,157,2.2846018280612594e-07
dmr,153,2.2263954120596987e-07
dcp,91,1.324195964035507e-07
btl,121,1.7607440840472125e-07
vfl,90,1.309644360035117e-07
thl,126,1.8335021040491635e-07
ssj,98,1.4260571920382383e-07
npl,112,1.629779648043701e-07
ncr,202,2.939424008078818e-07
mmw,94,1.3678507760366776e-07
jng,141,2.0517761640550164e-07
jkj,90,1.309644360035117e-07
hmp,137,1.9935697480534555e-07
gsf,116,1.6879860640452616e-07
ftc,96,1.396953984037458e-07
ffm,132,1.9208117280515048e-07
fds,166,2.415566264064771e-07
chv,100,1.4551604000390186e-07
wj,131,1.9062601240511145e-07
tms,97,1.4115055880378482e-07
smx,97,1.4115055880378482e-07
shh,202,2.939424008078818e-07
sfl,98,1.4260571920382383e-07
rsf,107,1.55702162804175e-07
mtt,116,1.6879860640452616e-07
kth,88,1.2805411520343363e-07
kmk,75,1.091370300029264e-07
hrc,83,1.2077831320323856e-07
gds,87,1.2659895480339463e-07
flp,95,1.3824023800370676e-07
fdv,150,2.182740600058528e-07
xfx,74,1.0768186960288739e-07
xcp,94,1.3678507760366776e-07
tng,89,1.2950927560347266e-07
sxf,76,1.1059219040296542e-07
svv,118,1.7170892720460422e-07
stt,257,3.739762228100278e-07
sjt,259,3.7688654361010586e-07
sgm,100,1.4551604000390186e-07
rsr,99,1.4406087960386286e-07
rpk,73,1.0622670920284837e-07
rpf,83,1.2077831320323856e-07
phb,78,1.1350251120304345e-07
ltn,112,1.629779648043701e-07
kvt,128,1.8626053120499438e-07
gfk,75,1.091370300029264e-07
ftt,170,2.473772680066332e-07
fll,134,1.949914936052285e-07
drg,336,4.889338944131103e-07
ddc,94,1.3678507760366776e-07
cjm,98,1.4260571920382383e-07
chb,111,1.6152280440433108e-07
bhh,85,1.236886340033166e-07
bdq,72,1.0477154880280934e-07
wcp,127,1.8480537080495538e-07
vch,80,1.164128320031215e-07
tff,93,1.3532991720362873e-07
sbk,84,1.2223347360327757e-07
rsx,76,1.1059219040296542e-07
rkc,108,1.5715732320421402e-07
ppd,140,2.037224560054626e-07
phs,155,2.255498620060479e-07
ngn,80,1.164128320031215e-07
krm,134,1.949914936052285e-07
jz,121,1.7607440840472125e-07
hbj,72,1.0477154880280934e-07
dtt,129,1.877156916050334e-07
ctc,131,1.9062601240511145e-07
blf,78,1.1350251120304345e-07
bjp,77,1.1204735080300444e-07
xn,201,2.9248724040784275e-07
xjr,72,1.0477154880280934e-07
ssg,88,1.2805411520343363e-07
rmt,79,1.1495767160308247e-07
qh,107,1.55702162804175e-07
pks,76,1.1059219040296542e-07
gss,84,1.2223347360327757e-07
dwl,105,1.5279184200409696e-07
ddk,73,1.0622670920284837e-07
csw,85,1.236886340033166e-07
cng,89,1.2950927560347266e-07
vtb,113,1.6443312520440912e-07
sct,85,1.236886340033166e-07
scd,132,1.9208117280515048e-07
sbn,79,1.1495767160308247e-07
rmr,101,1.469712004039409e-07
lsc,83,1.2077831320323856e-07
klr,107,1.55702162804175e-07
hqv,74,1.0768186960288739e-07
dmz,95,1.3824023800370676e-07
chk,135,1.9644665400526751e-07
brp,82,1.1932315280319953e-07
tsp,91,1.324195964035507e-07
tkk,105,1.5279184200409696e-07
tht,108,1.5715732320421402e-07
sbm,76,1.1059219040296542e-07
nbt,123,1.7898472920479929e-07
mpp,108,1.5715732320421402e-07
mns,119,1.7316408760464322e-07
mbx,95,1.3824023800370676e-07
kft,130,1.8917085200507242e-07
kfc,76,1.1059219040296542e-07
fsp,155,2.255498620060479e-07
ddg,77,1.1204735080300444e-07
chc,151,2.197292204058918e-07
bxh,86,1.251437944033556e-07
bbv,74,1.0768186960288739e-07
swr,120,1.7461924800468225e-07
sfg,87,1.2659895480339463e-07
rbc,75,1.091370300029264e-07
ptr,114,1.6588828560444812e-07
pgf,90,1.309644360035117e-07
mkd,99,1.4406087960386286e-07
mkb,89,1.2950927560347266e-07
mhb,73,1.0622670920284837e-07
jbk,109,1.5861248360425302e-07
gst,269,3.91438147610496e-07
fsr,86,1.251437944033556e-07
fnt,89,1.2950927560347266e-07
fdl,105,1.5279184200409696e-07
dlw,72,1.0477154880280934e-07
zzr,71,1.0331638840277032e-07
vnr,68,9.895090720265327e-08
tcx,71,1.0331638840277032e-07
lft,100,1.4551604000390186e-07
klf,74,1.0768186960288739e-07
hvl,174,2.5319790960678926e-07
hcx,74,1.0768186960288739e-07
dbc,133,1.9353633320518948e-07
cpr,85,1.236886340033166e-07
cnk,104,1.5133668160405795e-07
brs,110,1.6006764400429205e-07
bnc,94,1.3678507760366776e-07
bks,100,1.4551604000390186e-07
wrt,72,1.0477154880280934e-07
vtt,67,9.749574680261426e-08
vcr,77,1.1204735080300444e-07
spn,144,2.0954309760561868e-07
sgd,69,1.0040606760269229e-07
scc,140,2.037224560054626e-07
rsl,90,1.309644360035117e-07
rhs,76,1.1059219040296542e-07
rdq,83,1.2077831320323856e-07
ptv,71,1.0331638840277032e-07
nvs,128,1.8626053120499438e-07
lds,85,1.236886340033166e-07
kps,85,1.236886340033166e-07
jrc,80,1.164128320031215e-07
ftr,117,1.7025376680456519e-07
dbx,71,1.0331638840277032e-07
blc,121,1.7607440840472125e-07
whf,88,1.2805411520343363e-07
vbr,108,1.5715732320421402e-07
thn,131,1.9062601240511145e-07
srk,104,1.5133668160405795e-07
skg,72,1.0477154880280934e-07
qqq,170,2.473772680066332e-07
pmc,78,1.1350251120304345e-07
pbv,72,1.0477154880280934e-07
gxf,64,9.313026560249719e-08
flr,161,2.34280824406282e-07
dbk,86,1.251437944033556e-07
dbf,110,1.6006764400429205e-07
bwn,86,1.251437944033556e-07
bhr,118,1.7170892720460422e-07
vvv,97,1.4115055880378482e-07
sfh,89,1.2950927560347266e-07
rkt,103,1.4988152120401892e-07
qps,83,1.2077831320323856e-07
prm,114,1.6588828560444812e-07
prl,93,1.3532991720362873e-07
plx,75,1.091370300029264e-07
nkm,148,2.1536373920577477e-07
mbw,68,9.895090720265327e-08
khw,163,2.3719114520636004e-07
kdk,70,1.018612280027313e-07
hmh,137,1.9935697480534555e-07
dkn,97,1.4115055880378482e-07
bvl,150,2.182740600058528e-07
snk,107,1.55702162804175e-07
skf,168,2.4446694720655513e-07
scp,117,1.7025376680456519e-07
scl,316,4.598306864123299e-07
mmt,81,1.1786799240316052e-07
mbt,114,1.6588828560444812e-07
gfl,71,1.0331638840277032e-07
ctk,67,9.749574680261426e-08
btb,134,1.949914936052285e-07
bfh,78,1.1350251120304345e-07
bcm,71,1.0331638840277032e-07
wkf,71,1.0331638840277032e-07
wbb,88,1.2805411520343363e-07
vpc,160,2.32825664006243e-07
tsf,79,1.1495767160308247e-07
tnf,215,3.12859486008389e-07
tlr,90,1.309644360035117e-07
tdr,91,1.324195964035507e-07
snm,120,1.7461924800468225e-07
smm,175,2.546530700068283e-07
sjr,78,1.1350251120304345e-07
rsh,118,1.7170892720460422e-07
ppb,74,1.0768186960288739e-07
ndw,65,9.458542600253621e-08
lq,81,1.1786799240316052e-07
kss,136,1.9790181440530654e-07
kmj,69,1.0040606760269229e-07
jrg,86,1.251437944033556e-07
hfc,83,1.2077831320323856e-07
ffd,120,1.7461924800468225e-07
ffb,77,1.1204735080300444e-07
csp,157,2.2846018280612594e-07
ccx,82,1.1932315280319953e-07
trn,298,4.3363779921162755e-07
tqm,70,1.018612280027313e-07
npv,67,9.749574680261426e-08
mtl,72,1.0477154880280934e-07
mmf,80,1.164128320031215e-07
mln,64,9.313026560249719e-08
lgt,78,1.1350251120304345e-07
hcv,149,2.1681889960581377e-07
dhg,65,9.458542600253621e-08
cvc,68,9.895090720265327e-08
crx,71,1.0331638840277032e-07
bvs,73,1.0622670920284837e-07
wmt,60,8.730962400234112e-08
vsr,125,1.8189505000487735e-07
vff,66,9.604058640257524e-08
tpm,118,1.7170892720460422e-07
tct,72,1.0477154880280934e-07
svp,73,1.0622670920284837e-07
shv,111,1.6152280440433108e-07
rdx,62,9.021994480241916e-08
psr,116,1.6879860640452616e-07
psl,107,1.55702162804175e-07
npp,74,1.0768186960288739e-07
mvr,115,1.6734344600448715e-07
mnw,64,9.313026560249719e-08
mlw,63,9.167510520245817e-08
mjf,86,1.251437944033556e-07
lrg,64,9.313026560249719e-08
ksp,157,2.2846018280612594e-07
gpt,70,1.018612280027313e-07
glc,65,9.458542600253621e-08
fbr,84,1.2223347360327757e-07
blm,67,9.749574680261426e-08
txh,58,8.439930320226308e-08
trv,100,1.4551604000390186e-07
tpc,76,1.1059219040296542e-07
shn,165,2.401014660064381e-07
jpn,61,8.876478440238014e-08
jpd,63,9.167510520245817e-08
glp,65,9.458542600253621e-08
gcb,60,8.730962400234112e-08
fzr,59,8.585446360230211e-08
dbm,131,1.9062601240511145e-07
cmp,166,2.415566264064771e-07
wvg,76,1.1059219040296542e-07
tnr,67,9.749574680261426e-08
tmg,100,1.4551604000390186e-07
pfc,77,1.1204735080300444e-07
mjs,62,9.021994480241916e-08
mcv,183,2.662943532071404e-07
jq,140,2.037224560054626e-07
hpm,65,9.458542600253621e-08
gjr,242,3.521488168094425e-07
fzq,63,9.167510520245817e-08
frj,89,1.2950927560347266e-07
frd,196,2.8521143840764765e-07
fph,60,8.730962400234112e-08
fdb,79,1.1495767160308247e-07
fbf,89,1.2950927560347266e-07
dhv,131,1.9062601240511145e-07
csb,64,9.313026560249719e-08
bfp,62,9.021994480241916e-08
xtm,62,9.021994480241916e-08
wlc,69,1.0040606760269229e-07
wdm,121,1.7607440840472125e-07
sxr,75,1.091370300029264e-07
snj,263,3.827071852102619e-07
skw,91,1.324195964035507e-07
shb,114,1.6588828560444812e-07
rdm,77,1.1204735080300444e-07
rcp,141,2.0517761640550164e-07
rcd,99,1.4406087960386286e-07
pfg,75,1.091370300029264e-07
mtw,79,1.1495767160308247e-07
mnh,85,1.236886340033166e-07
mff,73,1.0622670920284837e-07
mdd,81,1.1786799240316052e-07
lrm,56,8.148898240218504e-08
lpp,80,1.164128320031215e-07
ksv,73,1.0622670920284837e-07
hrr,110,1.6006764400429205e-07
gtp,73,1.0622670920284837e-07
ghv,91,1.324195964035507e-07
dsr,100,1.4551604000390186e-07
ctm,60,8.730962400234112e-08
ctd,80,1.164128320031215e-07
cbk,79,1.1495767160308247e-07
wnd,119,1.7316408760464322e-07
vlk,69,1.0040606760269229e-07
tpp,96,1.396953984037458e-07
tmm,98,1.4260571920382383e-07
tkr,62,9.021994480241916e-08
sqs,61,8.876478440238014e-08
shg,73,1.0622670920284837e-07
rgl,67,9.749574680261426e-08
rfd,60,8.730962400234112e-08
pmp,85,1.236886340033166e-07
pft,62,9.021994480241916e-08
mnn,104,1.5133668160405795e-07
lxg,58,8.439930320226308e-08
ltl,71,1.0331638840277032e-07
lkl,65,9.458542600253621e-08
kjk,84,1.2223347360327757e-07
kff,72,1.0477154880280934e-07
jvs,73,1.0622670920284837e-07
cpn,67,9.749574680261426e-08
bhd,63,9.167510520245817e-08
wps,71,1.0331638840277032e-07
wds,94,1.3678507760366776e-07
vsh,62,9.021994480241916e-08
tlm,69,1.0040606760269229e-07
svr,122,1.7752956880476028e-07
srn,146,2.1245341840569674e-07
rvr,82,1.1932315280319953e-07
rbm,114,1.6588828560444812e-07
pzn,54,7.857866160210701e-08
pth,93,1.3532991720362873e-07
nvt,61,8.876478440238014e-08
mmk,75,1.091370300029264e-07
mdm,87,1.2659895480339463e-07
mbr,119,1.7316408760464322e-07
lbv,114,1.6588828560444812e-07
kmh,63,9.167510520245817e-08
kjm,163,2.3719114520636004e-07
khl,168,2.4446694720655513e-07
hhb,62,9.021994480241916e-08
hfm,73,1.0622670920284837e-07
gjl,164,2.3864630560639907e-07
dht,102,1.484263608039799e-07
dbz,59,8.585446360230211e-08
bwp,82,1.1932315280319953e-07
zch,56,8.148898240218504e-08
xmm,91,1.324195964035507e-07
vz,79,1.1495767160308247e-07
thm,75,1.091370300029264e-07
tdh,58,8.439930320226308e-08
snb,87,1.2659895480339463e-07
sdd,104,1.5133668160405795e-07
rpl,67,9.749574680261426e-08
rpc,62,9.021994480241916e-08
pwr,96,1.396953984037458e-07
nxt,63,9.167510520245817e-08
nmb,88,1.2805411520343363e-07
ngh,129,1.877156916050334e-07
nfb,69,1.0040606760269229e-07
ncm,79,1.1495767160308247e-07
lxb,98,1.4260571920382383e-07
jjj,156,2.270050224060869e-07
hvp,150,2.182740600058528e-07
fvs,62,9.021994480241916e-08
fhh,57,8.294414280222406e-08
fdm,73,1.0622670920284837e-07
dvt,60,8.730962400234112e-08
drp,132,1.9208117280515048e-07
drb,186,2.7065983440725746e-07
bhl,97,1.4115055880378482e-07
zrh,162,2.3573598480632103e-07
zbr,53,7.7123501202068e-08
vtr,104,1.5133668160405795e-07
vpf,80,1.164128320031215e-07
vll,126,1.8335021040491635e-07
tbv,77,1.1204735080300444e-07
smj,69,1.0040606760269229e-07
sfb,113,1.6443312520440912e-07
rxb,66,9.604058640257524e-08
qn,151,2.197292204058918e-07
ptl,67,9.749574680261426e-08
pdm,107,1.55702162804175e-07
pdk,68,9.895090720265327e-08
ntm,59,8.585446360230211e-08
nnk,173,2.5174274920675023e-07
ndp,57,8.294414280222406e-08
mlk,75,1.091370300029264e-07
lrr,60,8.730962400234112e-08
lrf,66,9.604058640257524e-08
kjs,66,9.604058640257524e-08
htf,67,9.749574680261426e-08
hsc,128,1.8626053120499438e-07
hlm,54,7.857866160210701e-08
hgf,71,1.0331638840277032e-07
hft,72,1.0477154880280934e-07
fmp,171,2.4883242840667217e-07
fdn,67,9.749574680261426e-08
dph,83,1.2077831320323856e-07
xdr,123,1.7898472920479929e-07
ttm,68,9.895090720265327e-08
tsd,63,9.167510520245817e-08
tmn,87,1.2659895480339463e-07
pln,59,8.585446360230211e-08
lws,53,7.7123501202068e-08
kwr,56,8.148898240218504e-08
kjv,62,9.021994480241916e-08
hlt,114,1.6588828560444812e-07
hlg,78,1.1350251120304345e-07
hff,62,9.021994480241916e-08
hbs,133,1.9353633320518948e-07
dtn,59,8.585446360230211e-08
dpk,111,1.6152280440433108e-07
dnp,56,8.148898240218504e-08
ccw,59,8.585446360230211e-08
bfr,81,1.1786799240316052e-07
xlt,66,9.604058640257524e-08
ttn,108,1.5715732320421402e-07
sng,69,1.0040606760269229e-07
sfn,81,1.1786799240316052e-07
qxv,50,7.275802000195093e-08
pkb,56,8.148898240218504e-08
nq,97,1.4115055880378482e-07
nmp,76,1.1059219040296542e-07
mnj,82,1.1932315280319953e-07
mnf,148,2.1536373920577477e-07
lmf,109,1.5861248360425302e-07
kfh,57,8.294414280222406e-08
jts,54,7.857866160210701e-08
jtc,84,1.2223347360327757e-07
jbj,62,9.021994480241916e-08
hbh,137,1.9935697480534555e-07
gbk,68,9.895090720265327e-08
fnm,63,9.167510520245817e-08
fmm,64,9.313026560249719e-08
fcg,62,9.021994480241916e-08
czt,51,7.421318040198995e-08
cpp,59,8.585446360230211e-08
cnx,58,8.439930320226308e-08
clx,51,7.421318040198995e-08
bmd,65,9.458542600253621e-08
wlb,63,9.167510520245817e-08
vsf,56,8.148898240218504e-08
vq,69,1.0040606760269229e-07
svj,72,1.0477154880280934e-07
sdc,90,1.309644360035117e-07
sdb,63,9.167510520245817e-08
qtc,105,1.5279184200409696e-07
pvd,93,1.3532991720362873e-07
phk,58,8.439930320226308e-08
nrh,64,9.313026560249719e-08
ngz,50,7.275802000195093e-08
mtk,60,8.730962400234112e-08
mmx,55,8.003382200214603e-08
lsp,90,1.309644360035117e-07
lfr,65,9.458542600253621e-08
kvb,68,9.895090720265327e-08
ksc,80,1.164128320031215e-07
kfs,65,9.458542600253621e-08
jtd,71,1.0331638840277032e-07
jrj,54,7.857866160210701e-08
hpr,79,1.1495767160308247e-07
gns,96,1.396953984037458e-07
ftl,61,8.876478440238014e-08
fpg,68,9.895090720265327e-08
fkl,54,7.857866160210701e-08
fhk,51,7.421318040198995e-08
fgt,56,8.148898240218504e-08
fcl,126,1.8335021040491635e-07
csn,91,1.324195964035507e-07
crv,81,1.1786799240316052e-07
cjs,52,7.566834080202898e-08
blp,53,7.7123501202068e-08
vbm,48,6.98476992018729e-08
tvk,261,3.7979686441018386e-07
svh,107,1.55702162804175e-07
sdm,80,1.164128320031215e-07
qg,66,9.604058640257524e-08
phx,51,7.421318040198995e-08
nnp,84,1.2223347360327757e-07
lls,61,8.876478440238014e-08
jnl,52,7.566834080202898e-08
grj,112,1.629779648043701e-07
fmd,52,7.566834080202898e-08
cbf,56,8.148898240218504e-08
btf,73,1.0622670920284837e-07
bmr,104,1.5133668160405795e-07
xsh,56,8.148898240218504e-08
vsp,133,1.9353633320518948e-07
smd,56,8.148898240218504e-08
shm,218,3.1722496720850605e-07
sfd,62,9.021994480241916e-08
scf,56,8.148898240218504e-08
rq,125,1.8189505000487735e-07
prz,215,3.12859486008389e-07
pfm,56,8.148898240218504e-08
mbc,50,7.275802000195093e-08
lgw,54,7.857866160210701e-08
kng,65,9.458542600253621e-08
kcl,55,8.003382200214603e-08
hbc,139,2.022672956054236e-07
gwb,48,6.98476992018729e-08
gbd,49,7.130285960191191e-08
fxg,48,6.98476992018729e-08
fcm,52,7.566834080202898e-08
dml,53,7.7123501202068e-08
djw,89,1.2950927560347266e-07
dds,67,9.749574680261426e-08
dcm,91,1.324195964035507e-07
zk,87,1.2659895480339463e-07
zc,98,1.4260571920382383e-07
xch,104,1.5133668160405795e-07
vdh,52,7.566834080202898e-08
tbn,58,8.439930320226308e-08
sgl,52,7.566834080202898e-08
rdk,58,8.439930320226308e-08
pnf,61,8.876478440238014e-08
mbb,55,8.003382200214603e-08
lfv,68,9.895090720265327e-08
jft,46,6.693737840179486e-08
hvm,54,7.857866160210701e-08
htg,64,9.313026560249719e-08
gwp,92,1.3387475680358973e-07
gdf,51,7.421318040198995e-08
fmk,93,1.3532991720362873e-07
djk,60,8.730962400234112e-08
dgh,50,7.275802000195093e-08
cht,150,2.182740600058528e-07
bfv,50,7.275802000195093e-08
bdb,49,7.130285960191191e-08
xkr,59,8.585446360230211e-08
vmm,47,6.839253880183388e-08
tdm,67,9.749574680261426e-08
srv,91,1.324195964035507e-07
snn,82,1.1932315280319953e-07
sdg,73,1.0622670920284837e-07
ptf,85,1.236886340033166e-07
pnc,52,7.566834080202898e-08
nhp,64,9.313026560249719e-08
klv,69,1.0040606760269229e-07
kdd,74,1.0768186960288739e-07
kbt,48,6.98476992018729e-08
dzs,52,7.566834080202898e-08
dxg,46,6.693737840179486e-08
dgp,60,8.730962400234112e-08
wxg,54,7.857866160210701e-08
vtx,51,7.421318040198995e-08
twm,46,6.693737840179486e-08
ttf,59,8.585446360230211e-08
tpd,67,9.749574680261426e-08
tdv,45,6.548221800175585e-08
tbh,50,7.275802000195093e-08
ssw,56,8.148898240218504e-08
sjf,68,9.895090720265327e-08
rvm,60,8.730962400234112e-08
rtp,53,7.7123501202068e-08
pbp,75,1.091370300029264e-07
ndk,55,8.003382200214603e-08
mdt,54,7.857866160210701e-08
ldk,83,1.2077831320323856e-07
ktr,70,1.018612280027313e-07
kcn,60,8.730962400234112e-08
jmp,48,6.98476992018729e-08
jll,74,1.0768186960288739e-07
fvr,56,8.148898240218504e-08
dtc,51,7.421318040198995e-08
dfg,88,1.2805411520343363e-07
ctl,50,7.275802000195093e-08
chn,67,9.749574680261426e-08
xxv,118,1.7170892720460422e-07
tvr,97,1.4115055880378482e-07
tpr,89,1.2950927560347266e-07
tdl,71,1.0331638840277032e-07
tcl,48,6.98476992018729e-08
sxb,45,6.548221800175585e-08
rns,108,1.5715732320421402e-07
rmn,72,1.0477154880280934e-07
qdr,43,6.25718972016778e-08
pmx,44,6.402705760171682e-08
pdx,48,6.98476992018729e-08
pcd,162,2.3573598480632103e-07
nsp,133,1.9353633320518948e-07
nlr,72,1.0477154880280934e-07
mzh,43,6.25718972016778e-08
mtn,73,1.0622670920284837e-07
mmd,59,8.585446360230211e-08
mgr,97,1.4115055880378482e-07
mdv,46,6.693737840179486e-08
lxh,45,6.548221800175585e-08
ldc,59,8.585446360230211e-08
kmv,50,7.275802000195093e-08
ghg,77,1.1204735080300444e-07
fpn,45,6.548221800175585e-08
fcx,50,7.275802000195093e-08
cmt,69,1.0040606760269229e-07
cdv,65,9.458542600253621e-08
wcg,52,7.566834080202898e-08
vld,124,1.8043988960483832e-07
vkv,52,7.566834080202898e-08
tml,61,8.876478440238014e-08
tkm,54,7.857866160210701e-08
slp,89,1.2950927560347266e-07
mth,120,1.7461924800468225e-07
lvm,90,1.309644360035117e-07
lpk,48,6.98476992018729e-08
hsr,49,7.130285960191191e-08
hrb,53,7.7123501202068e-08
hkg,60,8.730962400234112e-08
hhs,52,7.566834080202898e-08
dcg,43,6.25718972016778e-08
cnd,78,1.1350251120304345e-07
cjf,42,6.111673680163878e-08
bhs,83,1.2077831320323856e-07
zq,90,1.309644360035117e-07
xdd,72,1.0477154880280934e-07
vmb,69,1.0040606760269229e-07
thf,92,1.3387475680358973e-07
smv,50,7.275802000195093e-08
slb,83,1.2077831320323856e-07
rnc,48,6.98476992018729e-08
ppv,84,1.2223347360327757e-07
nrw,65,9.458542600253621e-08
mhd,43,6.25718972016778e-08
lpl,50,7.275802000195093e-08
ktp,46,6.693737840179486e-08
krb,52,7.566834080202898e-08
kpr,104,1.5133668160405795e-07
hxb,65,9.458542600253621e-08
hqh,53,7.7123501202068e-08
hmt,78,1.1350251120304345e-07
grz,84,1.2223347360327757e-07
gpf,45,6.548221800175585e-08
gld,90,1.309644360035117e-07
cxc,49,7.130285960191191e-08
cmx,55,8.003382200214603e-08
ckm,53,7.7123501202068e-08
ckd,51,7.421318040198995e-08
btr,70,1.018612280027313e-07
brk,151,2.197292204058918e-07
bcd,46,6.693737840179486e-08
xxd,54,7.857866160210701e-08
vnl,51,7.421318040198995e-08
tsm,76,1.1059219040296542e-07
trr,180,2.619288720070234e-07
tgv,52,7.566834080202898e-08
slc,54,7.857866160210701e-08
sbb,76,1.1059219040296542e-07
rkv,53,7.7123501202068e-08
qz,56,8.148898240218504e-08
prk,72,1.0477154880280934e-07
pbb,51,7.421318040198995e-08
mhh,72,1.0477154880280934e-07
mbq,42,6.111673680163878e-08
lrx,42,6.111673680163878e-08
knt,68,9.895090720265327e-08
jsx,41,5.966157640159977e-08
jnd,176,2.5610823040686727e-07
hrh,50,7.275802000195093e-08
hnf,51,7.421318040198995e-08
hmd,56,8.148898240218504e-08
gbl,61,8.876478440238014e-08
fss,180,2.619288720070234e-07
fsd,125,1.8189505000487735e-07
drr,91,1.324195964035507e-07
ctf,53,7.7123501202068e-08
ctb,75,1.091370300029264e-07
cpc,85,1.236886340033166e-07
chp,67,9.749574680261426e-08
cgs,65,9.458542600253621e-08
bsr,85,1.236886340033166e-07
bfj,72,1.0477154880280934e-07
xxt,58,8.439930320226308e-08
xwd,49,7.130285960191191e-08
xtx,40,5.820641600156075e-08
vtk,45,6.548221800175585e-08
vnd,142,2.0663277680554064e-07
vlt,91,1.324195964035507e-07
vdp,69,1.0040606760269229e-07
trl,50,7.275802000195093e-08
tlz,39,5.6751255601521726e-08
szn,44,6.402705760171682e-08
sgx,42,6.111673680163878e-08
sbr,94,1.3678507760366776e-07
pwg,48,6.98476992018729e-08
pfp,42,6.111673680163878e-08
mws,72,1.0477154880280934e-07
mlc,53,7.7123501202068e-08
mdl,68,9.895090720265327e-08
ltp,72,1.0477154880280934e-07
lkj,134,1.949914936052285e-07
ljs,45,6.548221800175585e-08
ldh,45,6.548221800175585e-08
kxg,39,5.6751255601521726e-08
knf,70,1.018612280027313e-07
kjf,65,9.458542600253621e-08
jfs,45,6.548221800175585e-08
jbv,44,6.402705760171682e-08
hrd,122,1.7752956880476028e-07
hjl,122,1.7752956880476028e-07
gxh,39,5.6751255601521726e-08
glt,66,9.604058640257524e-08
gkr,50,7.275802000195093e-08
fxx,73,1.0622670920284837e-07
fcr,62,9.021994480241916e-08
dtw,79,1.1495767160308247e-07
clr,62,9.021994480241916e-08
brv,60,8.730962400234112e-08
zxc,44,6.402705760171682e-08
xds,96,1.396953984037458e-07
vnz,39,5.6751255601521726e-08
tlb,91,1.324195964035507e-07
tkl,58,8.439930320226308e-08
szp,64,9.313026560249719e-08
sld,107,1.55702162804175e-07
sdx,55,8.003382200214603e-08
rwk,38,5.529609520148271e-08
rvb,39,5.6751255601521726e-08
rbl,50,7.275802000195093e-08
pnr,42,6.111673680163878e-08
pgb,41,5.966157640159977e-08
nzf,43,6.25718972016778e-08
nvf,45,6.548221800175585e-08
mrx,64,9.313026560249719e-08
mrj,61,8.876478440238014e-08
mbd,57,8.294414280222406e-08
lzw,41,5.966157640159977e-08
lvk,72,1.0477154880280934e-07
lmm,46,6.693737840179486e-08
lks,137,1.9935697480534555e-07
lkh,128,1.8626053120499438e-07
lkf,119,1.7316408760464322e-07
lkd,46,6.693737840179486e-08
